time,connetion,conection_data,Is_heart_beat,heart_rate,Is_beat_span,beat_span,Is_Valid
22:37:59:523459,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:525462,TRUE,339,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:527458,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:629608,TRUE,333,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:630607,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:631606,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:736759,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:739761,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:833753,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:834753,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:834753,TRUE,335,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:939095,TRUE,334,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:941094,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:37:59:944094,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:046087,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:046087,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:046087,TRUE,342,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:156255,TRUE,340,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:160202,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:259199,TRUE,337,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:261201,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:263202,TRUE,343,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:363021,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:363992,TRUE,344,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:363992,TRUE,341,FALSE,FALSE,FALSE,FALSE,InValid
22:38:00:473087,TRUE,338,FALSE,FALSE,FALSE,FALSE,InValid
